id,date,type,lat,lng,district,severity
1,2026-03-02,Vandalism,13.02144220452247,77.60293150582706,Bangalore,2
2,2024-11-27,Cyber Crime,18.61203895845683,73.86282704173406,Pune,4
3,2024-05-03,Burglary,18.59085155711377,73.94520582794362,Pune,3
4,2025-10-05,Drug Trafficking,22.937091531268802,72.5155819903863,Ahmedabad,5
5,2026-01-29,Assault,19.062664224878226,72.93151473397478,Mumbai,4
6,2024-11-09,Robbery,12.923024622636472,77.68542879494447,Bangalore,5
7,2026-01-09,Burglary,13.027534064932127,77.57529484162528,Bangalore,3
8,2025-10-04,Cyber Crime,22.570038588038546,88.31758944702707,Kolkata,4
9,2024-12-04,Theft,28.63367550784549,77.17886443569603,Delhi (NCR),2
10,2025-10-30,Assault,22.545496716487644,88.32006431733647,Kolkata,4
11,2026-04-01,Robbery,18.47161064533304,73.80207615842886,Pune,5
12,2025-12-29,Vandalism,19.15792852132955,72.82631274654601,Mumbai,2
13,2024-09-28,Extortion,28.653012284239985,77.26060397567612,Delhi (NCR),4
14,2025-06-25,Robbery,23.109089215881603,72.65448681092357,Ahmedabad,5
15,2026-04-12,Theft,12.881790627347103,77.55891675821918,Bangalore,2
16,2025-11-13,Theft,19.175064841164875,72.85048827858611,Mumbai,2
17,2025-07-26,Vandalism,23.077683061151056,72.5390492460616,Ahmedabad,2
18,2025-06-06,Drug Trafficking,22.506038040586173,88.35442866783681,Kolkata,5
19,2025-02-11,Vandalism,22.50607940571384,88.31332690413164,Kolkata,2
20,2026-01-24,Robbery,17.41909429620141,78.45971813486906,Hyderabad,5
21,2024-09-08,Theft,22.485059034024296,88.33537298615828,Kolkata,2
22,2024-10-23,Burglary,13.01828853451163,77.58721533162492,Bangalore,3
23,2025-09-26,Burglary,13.030257461568558,77.68452811326958,Bangalore,3
24,2025-05-08,Cyber Crime,12.94791679138504,77.52567783658772,Bangalore,4
25,2024-10-09,Cyber Crime,22.630750446187704,88.33825608248657,Kolkata,4
26,2025-08-13,Assault,18.467747405469364,73.8787381393616,Pune,4
27,2024-10-01,Theft,13.07732685862892,80.2858262976031,Chennai,2
28,2026-01-19,Vandalism,13.048709269479065,77.5587114054768,Bangalore,2
29,2024-05-22,Cyber Crime,13.127160090169506,80.21666493574814,Chennai,4
30,2025-08-01,Assault,28.62710092691721,77.22162279099959,Delhi (NCR),4
31,2025-09-19,Cyber Crime,13.026502450650854,80.23909477549414,Chennai,4
32,2024-10-18,Robbery,13.100535252118664,80.35655984912702,Chennai,5
33,2025-11-20,Theft,17.318750872878567,78.53115530287306,Hyderabad,2
34,2025-03-16,Vandalism,28.595600326244845,77.14314771196516,Delhi (NCR),2
35,2025-01-20,Drug Trafficking,13.07132872308268,80.32170534984041,Chennai,5
36,2024-10-16,Vandalism,13.077603097220626,80.19175982133001,Chennai,2
37,2024-09-19,Vandalism,18.500472756021974,73.91943513324118,Pune,2
38,2025-07-16,Theft,28.526794707862575,77.24478225779207,Delhi (NCR),2
39,2025-12-14,Assault,28.585497271891505,77.28196766511984,Delhi (NCR),4
40,2025-11-27,Vandalism,22.646892317690174,88.42645127437953,Kolkata,2
41,2025-02-14,Vandalism,28.52352693429106,77.20779002494746,Delhi (NCR),2
42,2025-05-20,Cyber Crime,13.098971088589794,80.25043917409019,Chennai,4
43,2026-02-28,Burglary,19.1164445447941,72.83684694652705,Mumbai,3
44,2024-12-08,Theft,23.09865783507672,72.58207436825555,Ahmedabad,2
45,2024-12-16,Burglary,22.64537696812249,88.35442326414032,Kolkata,3
